State,KodPAR,const_name,coallition,candidate_name,party,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,muslim_bumi,nonmuslim_bumi,sabah_bumi,early,postal
Pulau Pinang,46,Batu Kawan,GS,Jay Kumar Balakrishna,PAS,lose,PKR,PH,33553,2636,54705,4.82,65394,83.65,21,56,23,0,0,0,0,223,2
Pulau Pinang,46,Batu Kawan,PFP,Ooi Khar Giap,PFP,lose,PKR,PH,33553,256,54705,0.47,65394,83.65,21,56,23,0,0,0,0,223,2
Pulau Pinang,47,Nibong Tebal,PH,Mansor Othman,PKR,win,PKR,PH,15817,35395,62179,56.92,73383,84.73,48,35,17,0,0,0,0,461,8
Pulau Pinang,47,Nibong Tebal,BN,Shaik Hussein Mydin,BN,lose,PKR,PH,15817,19578,62179,31.49,73383,84.73,48,35,17,0,0,0,0,461,8
Pulau Pinang,47,Nibong Tebal,GS,Mohd Helmi Harun,PAS,lose,PKR,PH,15817,6875,62179,11.06,73383,84.73,48,35,17,0,0,0,0,461,8
Pulau Pinang,47,Nibong Tebal,Others,Tan Tee Beng,IND,lose,PKR,PH,15817,331,62179,0.53,73383,84.73,48,35,17,0,0,0,0,461,8
Pulau Pinang,48,Bukit Bendera,PH,Wong Hon Wai,PKR,win,PKR,PH,40731,50049,59706,83.83,75069,79.53,15,73,11,1,0,0,0,1209,20
Pulau Pinang,48,Bukit Bendera,BN,Andy Yong Kim Seng,BN,lose,PKR,PH,40731,9318,59706,15.61,75069,79.53,15,73,11,1,0,0,0,1209,20
Pulau Pinang,48,Bukit Bendera,Others,Tan Gim Theam,MU,lose,PKR,PH,40731,339,59706,0.57,75069,79.53,15,73,11,1,0,0,0,1209,20
Pulau Pinang,49,Tanjong,PH,Chow Kon Yeow,PKR,win,PKR,PH,29599,34663,39727,87.25,49586,80.12,6,84,9,0,0,0,0,876,3
Pulau Pinang,49,Tanjong,BN,Ng Siew Lai,BN,lose,PKR,PH,29599,5064,39727,12.75,49586,80.12,6,84,9,0,0,0,0,876,3
Pulau Pinang,50,Jelutong,PH,Sanisvara Nethaji Rayer Rajaji,PKR,win,PKR,PH,38171,50700,63666,79.63,76991,82.69,23,65,11,1,0,0,0,852,13
Pulau Pinang,50,Jelutong,BN,Baljit Singh Jigiri Singh,BN,lose,PKR,PH,38171,12529,63666,19.68,76991,82.69,23,65,11,1,0,0,0,852,13
